"FUN_ID","module"
"FUN_003386","orange"
"FUN_003387","lightyellow"
"FUN_003389","orange"
"FUN_003391","orange"
"FUN_003392","orange"
"FUN_003394","greenyellow"
"FUN_003395","tan"
"FUN_003413","violet"
"FUN_003415","darkorange"
"FUN_003417","orange"
"FUN_003419","yellow"
"FUN_003432","cyan"
"FUN_003442","orange"
"FUN_003449","violet"
"FUN_003458","lightyellow"
"FUN_003459","orange"
"FUN_003461","green"
"FUN_003465","yellow"
"FUN_003466","orange"
"FUN_003475","greenyellow"
"FUN_003486","greenyellow"
"FUN_003487","greenyellow"
"FUN_003488","orange"
"FUN_003489","purple"
"FUN_003490","purple"
"FUN_003491","purple"
"FUN_003494","darkgreen"
"FUN_003499","darkturquoise"
"FUN_003511","greenyellow"
"FUN_003515","darkturquoise"
"FUN_003516","yellow"
"FUN_003518","red"
"FUN_003522","greenyellow"
"FUN_003529","cyan"
"FUN_003530","cyan"
"FUN_003533","orange"
"FUN_003535","yellow"
"FUN_003536","cyan"
"FUN_003540","yellow"
"FUN_003541","cyan"
"FUN_003556","violet"
"FUN_003557","violet"
"FUN_003585","greenyellow"
"FUN_003589","lightyellow"
"FUN_003592","grey60"
"FUN_003593","red"
"FUN_003594","purple"
"FUN_003596","yellow"
"FUN_003597","darkorange"
"FUN_003599","darkturquoise"
"FUN_003600","red"
"FUN_003601","lightyellow"
"FUN_003602","lightyellow"
"FUN_003604","darkred"
"FUN_003606","orange"
"FUN_003608","purple"
"FUN_003609","orange"
"FUN_003610","orange"
"FUN_003616","purple"
"FUN_003629","greenyellow"
"FUN_003630","orange"
"FUN_003636","greenyellow"
"FUN_003639","violet"
"FUN_003648","greenyellow"
"FUN_003658","violet"
"FUN_003659","orange"
"FUN_003660","yellow"
"FUN_003677","orange"
"FUN_003686","red"
"FUN_003690","lightyellow"
"FUN_003697","darkred"
"FUN_003698","green"
"FUN_003700","orange"
"FUN_003704","violet"
"FUN_003705","violet"
"FUN_003706","green"
"FUN_003714","magenta"
"FUN_003716","yellow"
"FUN_003718","black"
"FUN_003719","violet"
"FUN_003722","magenta"
"FUN_003724","greenyellow"
"FUN_003726","tan"
"FUN_003737","orange"
"FUN_003738","orange"
"FUN_003741","violet"
"FUN_003744","darkorange"
"FUN_003750","yellow"
"FUN_003755","darkred"
"FUN_003770","red"
"FUN_003771","red"
"FUN_003772","orange"
"FUN_003778","royalblue"
"FUN_003780","lightyellow"
"FUN_003781","yellow"
"FUN_003783","lightyellow"
"FUN_003785","magenta"
"FUN_003788","orange"
"FUN_003793","black"
"FUN_003798","orange"
"FUN_003800","orange"
"FUN_003801","cyan"
"FUN_003802","magenta"
"FUN_003803","orange"
"FUN_003805","magenta"
"FUN_003806","purple"
"FUN_003813","greenyellow"
"FUN_003821","darkred"
"FUN_003822","cyan"
"FUN_003823","purple"
"FUN_003825","greenyellow"
"FUN_003826","lightyellow"
"FUN_003827","greenyellow"
"FUN_003831","grey60"
"FUN_003832","lightyellow"
"FUN_003840","orange"
"FUN_003854","yellow"
"FUN_003863","yellow"
"FUN_003866","tan"
"FUN_003867","tan"
"FUN_003869","tan"
"FUN_003878","grey60"
"FUN_003879","black"
"FUN_003880","greenyellow"
"FUN_003881","greenyellow"
"FUN_003882","orange"
"FUN_003884","orange"
"FUN_003885","darkred"
"FUN_003886","magenta"
"FUN_003891","orange"
"FUN_003892","yellow"
"FUN_003894","royalblue"
"FUN_003897","lightyellow"
"FUN_003907","orange"
"FUN_003916","cyan"
"FUN_003917","black"
"FUN_003918","orange"
"FUN_003919","cyan"
"FUN_003923","darkred"
"FUN_003924","purple"
"FUN_003926","orange"
"FUN_003936","yellow"
"FUN_003937","purple"
"FUN_003945","yellow"
"FUN_003949","greenyellow"
"FUN_003950","green"
"FUN_003962","red"
"FUN_003980","green"
"FUN_003983","darkred"
"FUN_004024","darkturquoise"
"FUN_004025","darkgreen"
"FUN_004031","darkorange"
"FUN_004035","lightyellow"
"FUN_004036","greenyellow"
"FUN_004037","cyan"
"FUN_004038","black"
"FUN_004058","greenyellow"
"FUN_004060","greenyellow"
"FUN_004083","orange"
"FUN_004084","green"
"FUN_004090","green"
"FUN_004097","greenyellow"
"FUN_004105","grey60"
"FUN_004111","yellow"
"FUN_004120","violet"
"FUN_004143","orange"
"FUN_004144","cyan"
"FUN_004145","red"
"FUN_004146","greenyellow"
"FUN_004147","tan"
"FUN_004178","orange"
"FUN_004193","darkred"
"FUN_004201","violet"
"FUN_047040","grey60"
"FUN_004219","red"
"FUN_004221","violet"
"FUN_004222","yellow"
"FUN_004224","lightyellow"
"FUN_004225","lightyellow"
"FUN_004226","tan"
"FUN_004227","lightyellow"
"FUN_004228","cyan"
"FUN_004244","red"
"FUN_004245","orange"
"FUN_004246","cyan"
"FUN_004248","yellow"
"FUN_004249","darkorange"
"FUN_004250","black"
"FUN_004252","greenyellow"
"FUN_004254","black"
"FUN_047041","grey60"
"FUN_004256","black"
"FUN_047042","magenta"
"FUN_004295","greenyellow"
"FUN_004300","greenyellow"
"FUN_004301","green"
"FUN_004304","darkred"
"FUN_004312","greenyellow"
"FUN_004313","purple"
"FUN_004317","greenyellow"
"FUN_004326","purple"
"FUN_004327","greenyellow"
"FUN_004332","orange"
"FUN_004346","orange"
"FUN_004355","darkred"
"FUN_004356","cyan"
"FUN_004357","greenyellow"
"FUN_004360","greenyellow"
"FUN_004361","grey60"
"FUN_004365","greenyellow"
"FUN_004372","greenyellow"
"FUN_004373","violet"
"FUN_004374","violet"
"FUN_004383","red"
"FUN_004384","lightyellow"
"FUN_004385","violet"
"FUN_004412","violet"
"FUN_004420","greenyellow"
"FUN_004421","purple"
"FUN_004422","orange"
"FUN_004424","greenyellow"
"FUN_004425","orange"
"FUN_004426","grey60"
