"X","PohiBra080_sorted.bam","PohiBra081_sorted.bam","PohiBra083_sorted.bam","PohiBra084_sorted.bam","PohiBra085_sorted.bam","PohiBra086_sorted.bam","PstrBra093_sorted.bam","PstrBra094_sorted.bam","PstrBra098_sorted.bam"
"FUN_000409",0,3,29,6,2,4,0,8,0
"FUN_000410",85,77,224,171,145,14,103,61,29
"FUN_000412",207,11,14,1,9,3,547,76,288
"FUN_000414",285,4,0,0,2,1,30,8,1
"FUN_000415",0,0,0,1,0,0,2,0,0
"FUN_000416",0,0,0,0,0,0,5,2,0
"FUN_000417",0,0,0,0,0,1,16,0,2
"FUN_000418",1,2,5,0,0,0,3,0,0
"FUN_000419",0,0,0,0,0,0,0,0,0
"FUN_000420",0,0,0,0,0,0,0,0,0
"FUN_000421",0,0,0,0,0,0,0,0,0
"FUN_000422",0,0,0,0,0,0,0,0,0
"FUN_000423",0,0,0,0,0,0,0,0,0
"FUN_000429",87,113,440,213,94,17,241,177,105
"FUN_000433",77,46,212,22,16,25,41,28,16
"FUN_000434",0,0,0,0,0,0,0,0,0
"FUN_000436",0,0,0,0,0,0,0,0,0
"FUN_000437",0,0,0,0,0,0,0,0,0
"FUN_000438",0,0,0,0,0,0,0,0,0
"FUN_000439",0,0,0,0,0,0,0,0,0
"FUN_000440",0,0,0,0,0,0,0,0,0
"FUN_000441",0,0,0,0,0,0,0,0,0
"FUN_000442",0,0,0,0,0,0,0,0,0
"FUN_000443",0,0,0,0,0,0,0,0,0
"FUN_000444",0,0,0,0,0,0,0,0,0
"FUN_000445",0,0,0,0,0,0,0,0,0
"FUN_000446",0,0,0,0,0,0,0,0,0
"FUN_000447",0,0,0,0,0,0,0,0,0
"FUN_000448",0,0,0,0,0,0,0,0,0
"FUN_000449",0,0,0,0,0,0,0,0,0
"FUN_000450",0,0,0,0,0,0,0,0,0
"FUN_000451",0,0,0,0,0,0,0,0,0
"FUN_000452",0,0,0,0,0,0,0,0,0
"FUN_000453",0,0,0,0,0,0,0,0,0
"FUN_000454",0,0,0,0,0,0,0,0,0
"FUN_000455",0,0,0,0,0,0,0,0,0
"FUN_000456",0,0,0,0,0,0,0,0,0
"FUN_000457",0,0,0,0,0,0,0,0,0
"FUN_000458",0,0,0,0,0,0,0,0,0
"FUN_000459",0,0,0,0,0,0,0,0,0
"FUN_000460",0,0,0,0,0,0,0,0,0
"FUN_000461",0,0,0,0,0,0,0,0,0
"FUN_000462",0,0,0,0,0,0,0,0,0
"FUN_000463",0,0,0,0,0,0,0,0,0
"FUN_000464",0,0,0,0,0,0,0,0,0
"FUN_000465",0,0,0,0,0,0,0,0,0
"FUN_000466",0,0,0,0,0,0,0,0,0
"FUN_000467",0,0,6,0,0,0,0,0,0
"FUN_000468",0,0,0,0,0,0,0,0,0
"FUN_000469",0,0,0,0,0,0,0,0,0
"FUN_000470",0,0,0,0,0,0,0,0,0
"FUN_000471",0,0,0,0,0,0,0,0,0
"FUN_000472",1,0,0,0,0,0,0,0,0
"FUN_000473",0,0,0,0,0,0,0,0,0
"FUN_000474",0,0,0,0,0,0,0,0,0
"FUN_000475",0,0,0,0,0,0,0,0,0
"FUN_000476",0,0,0,0,0,0,0,0,0
"FUN_000477",0,0,0,0,0,0,0,0,0
"FUN_000478",0,0,0,0,0,0,0,0,0
"FUN_000479",0,0,0,0,0,0,0,0,0
"FUN_000480",0,0,0,0,0,0,0,0,0
"FUN_000481",0,0,0,0,0,0,0,0,0
"FUN_000482",0,0,0,0,0,0,0,0,0
"FUN_000483",0,0,0,0,0,0,0,0,0
