"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_012839",435.089763169953,423.374622425706,11.7151407442465,411.65948168146,"orange","ACTR1A",742
"FUN_029920",430.712554344174,422.92457888217,7.78797546200411,415.136603420165,"orange","SYT11",1683
"FUN_022235",433.055994342412,422.887153068359,10.1688412740536,412.718311794305,"orange","",1259
"FUN_044085",429.409016373279,422.792804655471,6.6162117178078,416.176592937663,"orange","GABBR2_2",2344
"FUN_046783",429.626378361488,422.34219241396,7.2841859475285,415.058006466431,"orange","",1683
"FUN_025547",429.292229546787,422.093560060262,7.19866948652458,414.894890573738,"orange","",1427
"FUN_016029",429.871899182713,421.99279461996,7.87910456275296,414.113690057207,"orange","",922
"FUN_033100",428.551230537697,421.691873348696,6.85935718900117,414.832516159695,"orange","",1830
"FUN_002886",431.746732189564,420.77478959729,10.971942592274,409.802847005016,"orange","",222
"FUN_003788",426.778124317674,420.045739470577,6.73238484709623,413.313354623481,"orange","TSPAN33",286
"FUN_046818",433.694216200903,419.973386423807,13.7208297770962,406.252556646711,"orange","ZDHHC14_3",182
"FUN_012427",426.761498381289,419.925010488218,6.83648789307045,413.088522595148,"orange","NRSN1",713
"FUN_021182",428.358420000339,419.165227065983,9.19319293435575,409.972034131627,"orange","",1202
"FUN_047176",426.271176500264,419.150411123118,7.12076537714563,412.029645745973,"orange","",896
"FUN_013097",429.567353741569,418.904229122248,10.6631246193215,408.241104502926,"orange","",746
"FUN_033765",431.853273458784,418.845552274856,13.0077211839277,405.837831090928,"orange","PDE11A_1",1877
"FUN_002834",428.417795149893,418.599310686209,9.818484463684,408.780826222525,"orange","NELL1",218
"FUN_007934",426.274830449418,418.504126076343,7.7707043730752,410.733421703268,"orange","KCTD16",515
"FUN_000864",425.425188360172,418.38137406484,7.04381429533203,411.337559769508,"orange","TPH1",86
"FUN_017300",428.907255302226,417.919168605812,10.9880866964139,406.931081909398,"orange","",1005
"FUN_004346",426.245727108713,417.505092124908,8.74063498380536,408.764457141102,"orange","",318
